"","Team","Player","Normalized.Personal","Normalized.Team","Normalized.xTT.Chain"
"1","Windsor Spitfires","Egor Afanasyev",0.81991238957093,0.285279920256772,0.525597386620238
"2","Flint Firebirds","Yevgeni Oksentyuk",0.689420224767679,0.376730534533037,0.498465998986663
"3","Kitchener Rangers","Donovan Sebrango",0.591735946616762,0.351606714250029,0.477288362951149
"4","London Knights","Liam Foudy",0.569441879543427,0.351098063619076,0.450140831078438
"5","Hamilton Bulldogs","Arthur Kaliyev",0.318081962386484,0.473924333391463,0.401469180290142
"6","London Knights","Kirill Steklov",0.245569222300874,0.534392482956896,0.396141064525351
"7","Flint Firebirds","Vladislav Kolyachonok",0.285667533173779,0.499698312090103,0.395147906226911
"8","Mississauga Steelheads","Keean Washkurak",0.541037554271767,0.280860681255726,0.373753707251249
"9","London Knights","Nathan Dunkley",0.569517837268232,0.286029738644159,0.367223441661036
"10","Flint Firebirds","Tyler Tucker",0.332797245578555,0.417353691394366,0.367106505896606
